count,datasourceId,variable,field,runId
13648521,all,evidenceTotalCount,,2104-post-3
10551086,europepmc,evidenceCountByDatasource,,2104-post-3
1846,crispr,evidenceCountByDatasource,,2104-post-3
33465,uniprot_variants,evidenceCountByDatasource,,2104-post-3
20687,genomics_england,evidenceCountByDatasource,,2104-post-3
521846,chembl,evidenceCountByDatasource,,2104-post-3
78057,slapenrich,evidenceCountByDatasource,,2104-post-3
225976,expression_atlas,evidenceCountByDatasource,,2104-post-3
3292,intogen,evidenceCountByDatasource,,2104-post-3
9718,reactome,evidenceCountByDatasource,,2104-post-3
423,sysbio,evidenceCountByDatasource,,2104-post-3
711386,phenodigm,evidenceCountByDatasource,,2104-post-3
182800,phewas_catalog,evidenceCountByDatasource,,2104-post-3
61666,cancer_gene_census,evidenceCountByDatasource,,2104-post-3
420,progeny,evidenceCountByDatasource,,2104-post-3
1293,clingen,evidenceCountByDatasource,,2104-post-3
837193,eva,evidenceCountByDatasource,,2104-post-3
2550,gene2phenotype,evidenceCountByDatasource,,2104-post-3
5306,uniprot_literature,evidenceCountByDatasource,,2104-post-3
11187,eva_somatic,evidenceCountByDatasource,,2104-post-3
388324,ot_genetics_portal,evidenceCountByDatasource,,2104-post-3
10551086,europepmc,evidenceFieldNotNullCountByDatasource,targetId,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,alleleOrigins,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,allelicRequirements,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,beta,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,betaConfidenceIntervalLower,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,betaConfidenceIntervalUpper,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,biologicalModelAllelicComposition,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,biologicalModelGeneticBackground,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,biologicalModelId,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,biosamplesFromSource,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,clinicalPhase,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,clinicalSignificances,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,clinicalStatus,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,cohortDescription,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,cohortId,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,cohortPhenotypes,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,cohortShortName,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,confidence,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,contrast,2104-post-3
10551086,europepmc,evidenceFieldNotNullCountByDatasource,datatypeId,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,diseaseCellLines,2104-post-3
10551086,europepmc,evidenceFieldNotNullCountByDatasource,diseaseFromSource,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,diseaseFromSourceId,2104-post-3
10551086,europepmc,evidenceFieldNotNullCountByDatasource,diseaseFromSourceMappedId,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedHumanPhenotypes_id,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedHumanPhenotypes_label,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedModelPhenotypes_id,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedModelPhenotypes_label,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,drugId,2104-post-3
10551086,europepmc,evidenceFieldNotNullCountByDatasource,literature,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,log2FoldChangePercentileRank,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,log2FoldChangeValue,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,mutatedSamples_functionalConsequenceId,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberMutatedSamples,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberSamplesTested,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,mutatedSamples_numberSamplesWithMutationType,2104-post-3
0,europepmc,evidenceFieldNotNullCountByDatasource,oddsRatio,2104-post-3
