variable,field,value,count,datasourceId,runId
evidenceTotalCount,,,20644393.0,all,21.04.1-pre
evidenceCountByDatasource,,,17466667.0,europepmc,21.04.1-pre
evidenceCountByDatasource,,,1846.0,crispr,21.04.1-pre
evidenceCountByDatasource,,,34386.0,uniprot_variants,21.04.1-pre
evidenceCountByDatasource,,,7850.0,genomics_england,21.04.1-pre
evidenceCountByDatasource,,,582813.0,chembl,21.04.1-pre
evidenceCountByDatasource,,,74583.0,slapenrich,21.04.1-pre
evidenceCountByDatasource,,,239961.0,expression_atlas,21.04.1-pre
evidenceCountByDatasource,,,3175.0,intogen,21.04.1-pre
evidenceCountByDatasource,,,10033.0,reactome,21.04.1-pre
evidenceCountByDatasource,,,411.0,sysbio,21.04.1-pre
evidenceCountByDatasource,,,719092.0,phenodigm,21.04.1-pre
evidenceCountByDatasource,,,189971.0,phewas_catalog,21.04.1-pre
evidenceCountByDatasource,,,61835.0,cancer_gene_census,21.04.1-pre
evidenceCountByDatasource,,,406.0,progeny,21.04.1-pre
evidenceCountByDatasource,,,1207.0,clingen,21.04.1-pre
evidenceCountByDatasource,,,837793.0,eva,21.04.1-pre
evidenceCountByDatasource,,,2613.0,gene2phenotype,21.04.1-pre
evidenceCountByDatasource,,,5309.0,uniprot_literature,21.04.1-pre
evidenceCountByDatasource,,,11187.0,eva_somatic,21.04.1-pre
evidenceCountByDatasource,,,393255.0,ot_genetics_portal,21.04.1-pre
evidenceFieldNotNullCountByDatasource,alleleOrigins,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,allelicRequirements,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,beta,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,betaConfidenceIntervalLower,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,betaConfidenceIntervalUpper,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,biologicalModelAllelicComposition,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,biologicalModelGeneticBackground,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,biologicalModelId,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,biosamplesFromSource,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,clinicalPhase,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,clinicalSignificances,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,clinicalStatus,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,cohortDescription,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,cohortId,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,cohortPhenotypes,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,cohortShortName,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,confidence,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,contrast,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,datatypeId,,17466667.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,diseaseCellLines,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,diseaseFromSource,,17466667.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,diseaseFromSourceId,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,diseaseFromSourceMappedId,,17466667.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedHumanPhenotypes_id,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedHumanPhenotypes_label,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedModelPhenotypes_id,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,diseaseModelAssociatedModelPhenotypes_label,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,drugId,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,literature,,17466667.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,log2FoldChangePercentileRank,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,log2FoldChangeValue,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,mutatedSamples_functionalConsequenceId,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,mutatedSamples_numberMutatedSamples,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,mutatedSamples_numberSamplesTested,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,mutatedSamples_numberSamplesWithMutationType,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,oddsRatio,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,oddsRatioConfidenceIntervalLower,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,oddsRatioConfidenceIntervalUpper,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,pValueExponent,,0.0,europepmc,21.04.1-pre
evidenceFieldNotNullCountByDatasource,pValueMantissa,,0.0,europepmc,21.04.1-pre
